country,country_fixed,region
Uzbekistan,Uzbekistan,CIS
Tuvalu,Tuvalu,Asia & Pacific
Estonia,Estonia,Europe
Papua New Guinea,Papua New Guinea,Asia & Pacific
Slovakia,Slovakia,Europe
Andorra,Andorra,Europe
Spain,Spain,Europe
Afghanistan,Afghanistan,Asia & Pacific
Mauritania,Mauritania,Arab States
Russia,Russian Federation,Europe
Russian Federation,Russian Federation,Europe
Fiji,Fiji,Asia & Pacific
Swaziland,Swaziland,Africa
Ghana,Ghana,Africa
Armenia,Armenia,CIS
Haiti,Haiti,South/Latin America
Iraq,Iraq,Arab States
New Zealand,New Zealand,Asia & Pacific
Nigeria,Nigeria,Africa
Tajikistan,Tajikistan,CIS
Iceland,Iceland,Europe
Trinidad and Tobago,Trinidad and Tobago,South/Latin America
Nauru,Nauru,Asia & Pacific
Turkmenistan,Turkmenistan,CIS
Maldives,Maldives,Asia & Pacific
"Hong Kong, China","Hong Kong, China",Asia & Pacific
Thailand,Thailand,Asia & Pacific
Timor-Leste,Timor-Leste,Asia & Pacific
Brazil,Brazil,South/Latin America
Uganda,Uganda,Africa
Guyana,Guyana,South/Latin America
Angola,Angola,Africa
Mali,Mali,Africa
Liberia,Liberia,Africa
Moldova,Moldova,Europe
Venezuela,Venezuela,South/Latin America
United Arab Emirates,United Arab Emirates,Arab States
Central African Republic,Central African Republic,Africa
Barbados,Barbados,South/Latin America
Sierra Leone,Sierra Leone,Africa
Bahamas,Bahamas,South/Latin America
Ukraine,Ukraine,CIS
Kenya,Kenya,Africa
Albania,Albania,Europe
Lebanon,Lebanon,Arab States
Sudan,Sudan,Arab States
Benin,Benin,Africa
Grenada,Grenada,South/Latin America
Malawi,Malawi,Africa
Poland,Poland,Europe
Portugal,Portugal,Europe
Guinea-Bissau,Guinea-Bissau,Africa
Canada,Canada,North America
Cameroon,Cameroon,Africa
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
Mozambique,Mozambique,Africa
Luxembourg,Luxembourg,Europe
El Salvador,El Salvador,South/Latin America
Mongolia,Mongolia,Asia & Pacific
Zimbabwe,Zimbabwe,Africa
Guinea,Guinea,Africa
Burundi,Burundi,Africa
Cape Verde,Cape Verde,Africa
Colombia,Colombia,South/Latin America
Guatemala,Guatemala,South/Latin America
Tanzania,Tanzania,Africa
Chad,Chad,Africa
Puerto Rico,Puerto Rico,South/Latin America
Latvia,Latvia,Europe
North Korea,North Korea,Asia & Pacific
Egypt,Egypt,Arab States
Germany,Germany,Europe
Belize,Belize,South/Latin America
Kyrgyzstan,Kyrgyz Republic,CIS
Botswana,Botswana,Africa
Bahrain,Bahrain,Arab States
Bhutan,Bhutan,Asia & Pacific
Tonga,Tonga,Asia & Pacific
Austria,Austria,Europe
Switzerland,Switzerland,Europe
Panama,Panama,South/Latin America
Myanmar,Myanmar,Asia & Pacific
Japan,Japan,Asia & Pacific
Libya,Libya,Arab States
Bolivia,Bolivia,South/Latin America
Niger,Niger,Africa
Burkina Faso,Burkina Faso,Africa
Jordan,Jordan,Arab States
Romania,Romania,Europe
Solomon Islands,Solomon Islands,Asia & Pacific
Cambodia,Cambodia,Asia & Pacific
Singapore,Singapore,Asia & Pacific
Vanuatu,Vanuatu,Asia & Pacific
Norway,Norway,Europe
Laos,Laos,Asia & Pacific
South Sudan,South Sudan,Africa
Kiribati,Kiribati,Asia & Pacific
Honduras,Honduras,South/Latin America
Niue,Niue,Asia & Pacific
Sao Tome and Principe,Sao Tome and Principe,Africa
Pakistan,Pakistan,Asia & Pacific
United States,United States,North America
Tunisia,Tunisia,Arab States
Gabon,Gabon,Africa
