,country,region,cpi_score,gini_index
1,Albania,Europe,3.1599999999999997,30.0
2,Algeria,Arab States,2.9,27.6
4,Angola,Africa,1.98,42.7
6,Argentina,South/Latin America,2.92,44.0
7,Armenia,CIS,2.7,29.560000000000002
9,Australia,Asia & Pacific,8.7,35.05
10,Austria,Europe,7.919999999999999,30.72
14,Bangladesh,Asia & Pacific,2.3800000000000003,32.1
16,Belarus,CIS,2.38,28.18
17,Belgium,Europe,7.18,28.52
19,Benin,Africa,2.84,43.4
21,Bhutan,Asia & Pacific,5.42,38.1
22,Bolivia,South/Latin America,2.8,50.15
23,Bosnia and Herzegovina,Europe,3.1799999999999997,33.05
24,Botswana,Africa,5.74,60.5
25,Brazil,South/Latin America,3.6800000000000006,53.87500000000001
28,Bulgaria,Europe,3.6799999999999997,34.7
29,Burkina Faso,Africa,3.1399999999999997,39.8
32,Cameroon,Africa,2.3,42.8
33,Canada,North America,8.779999999999998,33.7
34,Cape Verde,Africa,5.14,47.2
36,Central African Republic,Africa,2.0799999999999996,56.2
37,Chad,Africa,1.7600000000000002,43.3
39,Chile,South/Latin America,7.06,48.3
40,China,Asia & Pacific,3.54,42.8
41,Colombia,South/Latin America,3.5799999999999996,54.574999999999996
44,"Congo, Rep.",Africa,2.0799999999999996,48.9
46,Costa Rica,South/Latin America,5.140000000000001,49.1
47,Cote d'Ivoire,Africa,2.1333333333333333,43.2
48,Croatia,Europe,4.08,32.43333333333333
50,Cyprus,Europe,6.16,31.8
51,Czech Republic,Europe,4.74,26.3
52,Denmark,Europe,9.34,26.52
55,Dominican Republic,South/Latin America,2.92,47.84
56,Ecuador,South/Latin America,2.4,49.2
57,Egypt,Arab States,2.96,31.3
58,El Salvador,South/Latin America,3.6,44.739999999999995
61,Estonia,Europe,6.5,31.8
62,Ethiopia,Africa,2.6399999999999997,33.2
64,Finland,Europe,9.22,27.78
65,France,Europe,6.959999999999999,33.02
67,Gambia,Africa,3.0199999999999996,43.6
68,Georgia,CIS,3.8400000000000007,38.839999999999996
69,Germany,Europe,7.92,30.666666666666668
71,Greece,Europe,3.7599999999999993,34.019999999999996
75,Guinea,Africa,1.9600000000000002,39.4
76,Guinea-Bissau,Africa,2.1,50.7
79,Honduras,South/Latin America,2.48,54.379999999999995
81,Hungary,Europe,4.88,28.2
82,Iceland,Europe,8.64,28.6
83,India,Asia & Pacific,3.3200000000000003,35.1
85,Iran,Asia & Pacific,2.28,42.1
87,Ireland,Europe,7.8,32.14
89,Israel,Europe,6.04,41.75
90,Italy,Europe,4.24,34.059999999999995
92,Japan,Asia & Pacific,7.76,32.1
93,Jordan,Arab States,4.72,33.150000000000006
94,Kazakhstan,CIS,2.66,28.560000000000002
97,Kosovo,Europe,2.8499999999999996,30.966666666666665
99,Kyrgyz Republic,CIS,2.02,30.640000000000004
100,Laos,Asia & Pacific,2.06,35.4
101,Latvia,Europe,4.42,36.279999999999994
102,Lebanon,Arab States,2.6,31.8
103,Lesotho,Africa,3.4200000000000004,54.2
104,Liberia,Africa,3.0,36.5
107,Lithuania,Europe,4.9,34.760000000000005
108,Luxembourg,Europe,8.42,31.5
110,"Macedonia, FYR",Europe,3.84,40.150000000000006
111,Madagascar,Africa,2.88,42.4
112,Malawi,Africa,3.16,45.5
113,Malaysia,Asia & Pacific,4.54,46.2
114,Maldives,Asia & Pacific,2.5799999999999996,38.4
115,Mali,Africa,2.7399999999999998,33.0
116,Malta,Europe,5.5600000000000005,29.3
118,Mauritania,Arab States,2.42,35.7
120,Mexico,South/Latin America,3.2,44.95
122,Moldova,Europe,2.96,32.94
124,Mongolia,Asia & Pacific,2.7600000000000002,34.26666666666667
125,Montenegro,Europe,3.7199999999999998,30.520000000000003
128,Mozambique,Africa,2.6799999999999997,45.6
130,Namibia,Africa,4.44,61.0
132,Nepal,Asia & Pacific,2.28,32.8
133,Netherlands,Europe,8.879999999999999,28.46
136,Nicaragua,South/Latin America,2.52,43.9
137,Niger,Africa,2.6399999999999997,34.4
138,Nigeria,Africa,2.38,43.0
141,Norway,Europe,8.7,26.26
143,Pakistan,Asia & Pacific,2.38,30.76666666666667
145,Panama,South/Latin America,3.4199999999999995,52.239999999999995
146,Papua New Guinea,Asia & Pacific,2.1,41.9
147,Paraguay,South/Latin America,2.22,51.220000000000006
148,Peru,South/Latin America,3.5199999999999996,47.22
